Spørsmål;Beskrivelse;Generell Studieallianse;Moderat Liste;Sosialdemokratisk Liste;Grønn Liste;Realistlisa;Venstralliansen
UiB bør innføre honours-program for enkelte studier;Med honours-programmet har man ett felles fag på tvers av studieretningene. Honoursstudentene får en rekke fordeler som egne fag, ekstra oppfølging og egne lesesaler. På Universitet i Oslo har de siden 2019 tilbudt honours-program for enkelte studier, blant annet fysikk og filosofi. ;2;2;-2;1;1;-2
UiB bør ha døgnåpne lesesaler;Lesesalene på campus har i dag varierende stengetider. Noen lesesaler for masterstudenter har døgnåpen tilgang i dag.;1;2;-1;1;2;2
Sammens kantiner bør ha 50 prosent vegetarmat;Sammen har i dag et variert tilbud av vegetarmat, men ikke et fast krav på hvor mye vegetarmat det skal være. De opplyser at de har daglig varm og kald vegetarmat.;2;-1;1;2;1;2
Studenter bør få pensumlitteratur gratis;Det har tidligere vært diskutert om pensumlitteratur i høyere utdanning bør være omfattet av gratisprinisippet.;2;-1;1;1;-1;2
Det bør være flere tilbud for alkoholfrie arrangementer i fadderuka;Mange av de store fadderarrangementene legger opp til festing og besøk på utesteder.;1;1;2;2;1;2
Studenter bør få obligatorisk tilbakemelding etter eksamenssensur;Etter eksamenssensur må man i dag be om å få en begrunnelse på satt karakter innen en frist. Sensor kan enten gi denne muntlig eller skriftlig.;2;1;2;1;2;2
UiB gjør nok for å tilrettelegge for internasjonale studenter;UiB tilbyr blant annet internasjonale studenter norskkurs.;-2;-1;-1;-1;1;-2
Det bør være mulig å få studiepoeng for enkelte verv i studentfrivilligheten;Det har tidligere vært diskutert om enkelte verv i studentorganisasjoner kan gi studiepoeng.;2;1;2;1;1;2
Det bør være obligatorisk for forelesere å ta opp lyd og video fra forelesninger;Under koronapandemien ble forelesninger tatt opp og streamet. Nå er vi tilbake til den «gamle» hverdagen, og foreleserne må ikke lenger ta opp forelseningene.;2;-1;2;-1;2;2
Det bør være kjønnskvotering på enkelte studier på UiB;Kjønnskvotering på studieprogram innebærer at det er satt av et antall plasser for studenter av ett kjønn. Ingen studier ved UiB operer med en slik kjønnskvotering i dag, men profesjonsprogrammet i psykologi har kjønnspoeng for mannlige søkere.;-2;2;-1;1;1;2
UiB bør jobbe for at studenter skal få gratis prevensjon;Man må i dag betale en egenandel, avhengig av alder, for andre typer prevensjonsmidler enn kondom.;1;1;2;2;2;2
Kantinedriften på campus bør konurranseutsettes;Sammen driver i dag alle kantinene på campus.;2;2;-2;-2;1;-2
UiB bør legge til rette for mer religiøs aktivitet på campus;Det finnes i dag ett stillerom på UiB. UiB har også egne studentprester.;2;1;1;-1;-2;-2
Alle fag på UiB bør være åpne for alle studenter på UiB;Noen emner er kun forbeholdt enkelte studieprogram, for eksempel på emner på medisin og jus.;2;1;2;1;1;2
UiB bør etablere et eget fond for studentorganisasjoner;Studentorganisasjoner kan i dag søke om midler fra blant annet Sammen.;2;-1;2;2;2;2
Sammen bør tilby frokost til ti kroner som et fast tilbud;Sammen har i perioder under pandemien hatt frokosttilbud til ti kroner.;2;-2;2;1;1;2
Som student bør man velge hvilken eksamensform man skal ha;I dag er det fastsatt om eksamensformen i et gitt fag er muntlig eller skriftlig, eller om den skal gjøre på skolen eller hjemme.;-2;-2;1;1;-2;-1
Mer av undervisningen på UiB bør være på norsk;Flere fag og pensum tilknyttet undervisningen er på engelsk.;-1;-1;-1;1;1;-1
Den månedlige studiestøtten bør heves;Basislånet for studieåret 2021-2022 er 126.357 kroner for studenter som får lån og stipend i 11 måneder.;2;2;2;1;2;2
Den akademiske ytringsfriheten er under press;Ytringsfrihet i akademia har vært en mye omtalt sak den siste tiden. Et ekspertutvalg satt ned tidligere utdanningsminister Henrik Asheim, konkluderte blant annet med at universiteter og akademiske  institusjoner har et ansvar for å «fremme en ytringskultur preget av gjensidig aksept og respekt for uenighet», også for studenter. Den akademiske friheten innebærer i følge regjeringen blant annet at den enkelte ansatte selv skal kunne velge emne og metode for sin forskning, og ha et selvstendig faglig ansvar for opplegg og innhold for sin undervisning. ;2;2;-1;1;-1;2
Nygårdshøyden bør være  bilfritt;Det er i dag trafikk på Nygårdshøyden, hvor UiB eier mange bygg og lokaler. Noen av årets lister mener at dette området bør være bilfritt.;-2;1;2;2;1;2
Hjemmeeksamen bør være den nye standarden for eksamen;Hjemmeeksamen har vært normen under pandemien og nedstegningen.;-2;1;1;1;1;2
Det bør være færre lønnede verv i studentpolitikken og -frivilligheten;Noen verv i studentfrivlligheten og -politikken mottar i dag lønn/honnorar.;-2;-1;-2;-1;-2;-1
UiB bør aktivt jobbe for å redusere sin flyaktivitet;Flere av listene mener at UiB bør jobbe for å redusere flyaktiviteten i sin virksomhet i større grad.;1;2;2;2;2;2