Spørsmål;Beskrivelse;Zahra Ramazani;Martin Wallin
Fadderuken bør holdes fri for undervisning / Buddy week should be free of lectures;TODO;2;-1
Alle kantiner på OsloMet bør være vegetarisk / All cafeterias on campus should be vegetarian;TODO;-1;-2
Universitetsbiblioteket skal være døgnåpent / The university library should be open 24/7;TODO;1;1
Studentparlamentet diskriminerer mot ikke-norsktalende studenter med mangel på informasjon på engelsk / The Student Parliament discriminates against non-Norwegian-speaking students due to the lack of information in English;TODO;1;-1
Toalettene på campus bør være kjønnsnøytrale / The toilets on campus should be gender-neutral;TODO;0;2
Leder av Studentparlamentet bør velges gjennom urnevalg / The leader of the Student Parliament should be elected through a ballot vote;TODO;0;2
Alkohol bør kunne nytes i alle OsloMets lokaler / Alcohol should be permitted in all OsloMet premises;TODO;-1;-1
Andre bedrifter enn SiO bør kunne drifte serveringstilbudene på campus / Other companies besides SiO should be allowed to operate dining services on campus;TODO;2;0
Pensumlitteraturen bør være gratis / Couse literature should be free;TODO;2;1
Alle forelesninger skal bli strømmet eller tatt opptak av / All lectures should be streamed or recorded;TODO;1;-2
OsloMet skal bli medlem av UN Global Compact / OsloMet should become a member of the UN Global Compact;TODO;1;0
Studenter i sykepleiepraksis skal få lønn / Nurse students should get paid when they are in work placement;TODO;1;-2
OsloMet skal ansette et til Studentombud / OsloMet should hire another Student Ombud;TODO;2;2
Dassavisa bør kun være digital for å spare papir / Dassavisa should only be digital to save paper;TODO;-2;-2
Studenter som tar opp eksamen for å forbedre karakter må betale for dette / Students who retake exams to improve their grades must pay to do so;TODO;-2;0
Det bør være mer obligatorisk undervisning / There should be more obligatory lectures;TODO;-1;2